TomH	15:39 6/0/2016	128
Jim	15:41 6/0/2016	236
Mike	15:41 6/0/2016	162
Lana	15:42 6/0/2016	112
Tom	15:42 6/0/2016	205
Jim	15:42 6/0/2016	160
Mike	15:42 6/0/2016	166
Lana	15:42 6/0/2016	127
Tom	15:42 6/0/2016	128
Mike	15:45 6/0/2016	103
Jim	15:45 6/0/2016	102
Tom	15:45 6/0/2016	123
Lana	15:45 6/0/2016	102
TomH	15:46 6/0/2016	111
Lana	15:46 6/0/2016	126
Tom	15:46 6/0/2016	130
Jim	15:46 6/0/2016	115
Mike	15:48 6/0/2016	102
Tom	15:48 6/0/2016	157
Jim	15:48 6/0/2016	108
Lana	15:48 6/0/2016	165
Mike	15:49 6/0/2016	153
Jim	15:49 6/0/2016	173
Tom	15:49 6/0/2016	183
Lana	15:49 6/0/2016	105
Jim	15:49 6/0/2016	198
Mike	15:49 6/0/2016	148
Lana	15:49 6/0/2016	185
Tom	15:49 6/0/2016	134
Mike	15:52 6/0/2016	118
Tom	15:52 6/0/2016	93
Lana	15:52 6/0/2016	126
TomH	15:52 6/0/2016	144
Mike	15:53 6/0/2016	132
Lana	15:53 6/0/2016	121
Tom	15:53 6/0/2016	126
TomH	15:53 6/0/2016	108
Tom	15:58 6/0/2016	134
Jim	15:58 6/0/2016	172
TomH	15:58 6/0/2016	136
Lana	15:58 6/0/2016	148
Jim	16:0 6/0/2016	150
Mike	16:0 6/0/2016	113
Tom	16:0 6/0/2016	114
Jim	16:0 6/0/2016	138
Tom	16:1 6/0/2016	131
Jim	16:1 6/0/2016	119
Jim	16:3 6/0/2016	197
Lana	16:3 6/0/2016	117
Tom	16:3 6/0/2016	118
TomH	16:3 6/0/2016	123
Tom	16:5 6/0/2016	139
Mike	16:5 6/0/2016	136
Tom	16:5 6/0/2016	171
TomH	16:5 6/0/2016	151
Mike	16:7 6/0/2016	135
Jim	16:7 6/0/2016	120
Tom	16:7 6/0/2016	128
TomH	16:7 6/0/2016	157
Lana	16:8 6/0/2016	140
Lana	16:8 6/0/2016	176
Tom	16:8 6/0/2016	141
Jim	16:8 6/0/2016	128
TomH	16:9 6/0/2016	98
Lana	16:9 6/0/2016	110
Mike	16:9 6/0/2016	126
Tom	16:9 6/0/2016	109
Jim	16:9 6/0/2016	124
Tom	16:9 6/0/2016	105
Jim	16:9 6/0/2016	204
Lana	16:9 6/0/2016	116
TomH	16:15 6/0/2016	148
Mike	16:15 6/0/2016	133
Jim	16:16 6/0/2016	118
Tom	16:16 6/0/2016	118
Lana	16:16 6/0/2016	135
Mike	16:27 6/0/2016	103
Jim	16:27 6/0/2016	155
Tom	16:27 6/0/2016	102
Lana	16:27 6/0/2016	138
Mike	16:27 6/0/2016	135
Jim	16:27 6/0/2016	153
Tom	16:27 6/0/2016	127
Lana	16:27 6/0/2016	102
Mike	16:31 6/0/2016	201
Jim	16:31 6/0/2016	142
TomH	16:31 6/0/2016	133
Lana	16:31 6/0/2016	101
Jim	16:35 6/0/2016	96
Mike	16:35 6/0/2016	130
Tom	16:35 6/0/2016	110
Lana	16:35 6/0/2016	116
Jim	16:36 6/0/2016	128
Mike	16:36 6/0/2016	106
Tom	16:36 6/0/2016	119
Lana	16:36 6/0/2016	178
Mike	16:43 6/0/2016	103
Jim	16:43 6/0/2016	121
Tom	16:43 6/0/2016	164
Lana	16:43 6/0/2016	127
Mike	16:43 6/0/2016	145
Jim	16:43 6/0/2016	117
Tom	16:43 6/0/2016	101
Lana	16:43 6/0/2016	130
Mike	23:52 6/0/2016	72
Jim	23:52 6/0/2016	104
Mike	23:55 6/0/2016	141
Jim	23:55 6/0/2016	148
Tom	23:55 6/0/2016	168
Lana	23:55 6/0/2016	126
Mike	0:3 7/1/2016	169
Tom	0:3 7/1/2016	155
Jim	0:3 7/1/2016	145
Lana	0:3 7/1/2016	127
Mike	0:12 7/1/2016	122
Jim	0:12 7/1/2016	113
Tom	0:12 7/1/2016	150
Lana	0:12 7/1/2016	100
Mike	0:13 7/1/2016	153
Jim	0:13 7/1/2016	135
Tom	0:13 7/1/2016	112
Lana	0:13 7/1/2016	120
Mike	0:13 7/1/2016	115
Jim	0:13 7/1/2016	119
Tom	0:13 7/1/2016	150
Lana	0:13 7/1/2016	134
Tom	0:14 7/1/2016	151
Lana	0:14 7/1/2016	245
Mike	0:14 7/1/2016	152
Jim	0:14 7/1/2016	104
